,week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,precipitation,max_temperature,min_temperature,8012,8022
2013-07-01,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.2,17.3,13.1,2969.0,2516.0
2013-07-02,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.5,16.2,13.0,3387.0,2869.0
2013-07-03,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,20.7,13.1,3361.0,3037.0
2013-07-04,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,21.8,13.1,3386.0,2996.0
2013-07-05,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.0,12.9,2909.0,2893.0
2013-07-06,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.7,12.9,783.0,1085.0
2013-07-07,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.3,14.0,308.0,366.0
2013-07-08,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,20.6,14.4,1376.0,1171.0
2013-07-09,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,18.7,14.4,431.0,473.0
2013-07-10,28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,22.3,14.0,3397.0,2949.0
2013-07-11,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,19.7,13.0,2768.0,2437.0
2013-07-12,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,23.9,11.3,3172.0,2763.0
2013-07-13,28,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,24.8,13.2,700.0,989.0
2013-07-14,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.3,14.7,428.0,531.0
2013-07-15,29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,24.8,15.5,2997.0,2668.0
2013-07-16,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,23.2,13.2,2936.0,2694.0
2013-07-17,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,25.0,11.4,2921.0,2623.0
2013-07-18,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.5,12.4,2903.0,2523.0
2013-07-19,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,22.6,15.2,2655.0,2484.0
2013-07-20,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2,26.9,14.5,790.0,965.0
2013-07-21,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.3,26.3,16.1,502.0,759.0
2013-07-22,30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4,22.9,14.4,2838.0,2708.0
2013-07-23,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,15.8,7.2,2773.0,2561.0
2013-07-24,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,8.5,5.2,2645.0,2464.0
2013-07-25,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.4,11.5,6.9,2693.0,2543.0
2013-07-26,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,13.7,8.0,2758.0,2529.0
2013-07-27,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8,19.0,10.5,774.0,946.0
2013-07-28,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,22.5,8.3,274.0,410.0
2013-07-29,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,21.4,9.5,2931.0,2678.0
2013-07-30,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,24.1,8.3,2914.0,2755.0
2013-07-31,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,26.9,9.7,3140.0,2794.0
2013-08-01,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,27.9,10.7,3714.0,3551.0
2013-08-02,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,27.4,13.2,3608.0,3070.0
2013-08-03,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,29.9,15.4,1133.0,1468.0
2013-08-04,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,28.3,14.7,495.0,497.0
2013-08-05,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,24.0,15.2,4019.0,3622.0
2013-08-06,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,25.5,13.4,3833.0,3778.0
