,8012,8022
2013-07-01,2969,2516
2013-07-02,3387,2869
2013-07-03,3361,3037
2013-07-04,3386,2996
2013-07-05,2909,2893
2013-07-06,783,1085
2013-07-07,308,366
2013-07-08,1376,1171
2013-07-09,431,473
2013-07-10,3397,2949
2013-07-11,2768,2437
2013-07-12,3172,2763
2013-07-13,700,989
2013-07-14,428,531
2013-07-15,2997,2668
2013-07-16,2936,2694
2013-07-17,2921,2623
2013-07-18,2903,2523
2013-07-19,2655,2484
2013-07-20,790,965
2013-07-21,502,759
2013-07-22,2838,2708
2013-07-23,2773,2561
2013-07-24,2645,2464
2013-07-25,2693,2543
2013-07-26,2758,2529
2013-07-27,774,946
2013-07-28,274,410
2013-07-29,2931,2678
2013-07-30,2914,2755
2013-07-31,3140,2794
2013-08-01,3714,3551
2013-08-02,3608,3070
2013-08-03,1133,1468
2013-08-04,495,497
2013-08-05,4019,3622
2013-08-06,3833,3778
2013-08-07,4249,3750
2013-08-08,5164,4595
2013-08-09,5562,4936
2013-08-10,2952,2681
2013-08-11,410,519
2013-08-12,4566,3552
2013-08-13,4471,3851
2013-08-14,4680,3977
2013-08-15,4633,3824
2013-08-16,4355,4041
2013-08-17,1392,1880
2013-08-18,356,442
2013-08-19,4374,3798
2013-08-20,4579,3831
2013-08-21,4498,3658
2013-08-22,4453,3806
2013-08-23,4284,3773
2013-08-24,1270,1908
2013-08-25,380,442
2013-08-26,3691,3607
2013-08-27,4250,3607
2013-08-28,4339,3674
2013-08-29,4366,3743
2013-08-30,4493,3824
2013-08-31,1199,1774
2013-09-01,399,433
2013-09-02,3502,3127
2013-09-03,3691,3477
2013-09-04,3576,3332
2013-09-05,3597,3293
2013-09-06,3447,3162
2013-09-07,351,505
2013-09-08,369,321
2013-09-09,4394,3819
2013-09-10,4628,4124
2013-09-11,4590,4107
2013-09-12,4654,4053
2013-09-13,4538,4329
2013-09-14,1321,1882
2013-09-15,433,420
2013-09-16,4361,3693
2013-09-17,4506,3674
2013-09-18,4269,3745
2013-09-19,4289,3560
2013-09-20,4331,3632
2013-09-21,1304,1676
2013-09-22,388,464
2013-09-23,4225,3607
2013-09-24,4398,3699
2013-09-25,4282,3731
2013-09-26,4443,3759
2013-09-27,820,797
2013-09-28,112,742
2013-09-29,383,468
2013-09-30,458,718
2013-10-01,3503,2469
2013-10-02,3534,2748
2013-10-03,3525,2750
2013-10-04,937,3343
2013-10-05,75,821
2013-10-06,387,399
2013-10-07,4278,1190
2013-10-08,4454,3949
2013-10-09,4308,3866
2013-10-10,4196,3721
2013-10-11,3715,3406
2013-10-12,509,637
2013-10-13,761,664
2013-10-14,4206,3212
2013-10-15,4091,3467
2013-10-16,4214,3275
2013-10-17,4227,3607
2013-10-18,3659,2851
2013-10-19,1231,1496
2013-10-20,504,510
2013-10-21,4273,3574
2013-10-22,4270,3542
2013-10-23,4251,3644
2013-10-24,4266,3596
2013-10-25,4192,3585
2013-10-26,1117,1289
2013-10-27,384,457
2013-10-28,2197,1898
2013-10-29,4051,3449
2013-10-30,4347,3632
2013-10-31,4226,3512
2013-11-01,4145,3586
2013-11-02,660,788
2013-11-03,404,411
2013-11-04,4041,3150
2013-11-05,4408,3575
2013-11-06,4398,3612
2013-11-07,4214,3505
2013-11-08,4498,4037
2013-11-09,1338,1570
2013-11-10,581,544
2013-11-11,4387,3676
2013-11-12,4012,3758
2013-11-13,4609,3651
2013-11-14,4372,3668
2013-11-15,492,576
2013-11-16,480,542
2013-11-17,316,353
2013-11-18,4211,3483
2013-11-19,4279,3591
2013-11-20,578,599
2013-11-21,4381,3795
2013-11-22,4211,3684
2013-11-23,1018,1428
2013-11-24,1167,1218
2013-11-25,4192,3605
2013-11-26,4219,3560
2013-11-27,4259,3621
2013-11-28,4257,3430
2013-11-29,4411,3671
2013-11-30,1218,1433
2013-12-01,460,445
2013-12-02,3883,3415
2013-12-03,4185,3545
2013-12-04,4139,3522
2013-12-05,4184,3650
2013-12-06,3689,3281
2013-12-07,1079,1247
2013-12-08,462,486
2013-12-09,3864,3276
2013-12-10,3930,3176
2013-12-11,5344,4330
2013-12-12,5629,4489
2013-12-13,5345,4189
2013-12-14,974,1130
2013-12-15,414,393
2013-12-16,3334,2673
2013-12-17,3475,2749
2013-12-18,3226,2651
2013-12-19,3204,2593
2013-12-20,2897,2324
2013-12-21,670,545
2013-12-22,321,277
2013-12-23,1335,861
2013-12-24,382,394
2013-12-25,209,246
2013-12-26,1234,926
2013-12-27,1279,934
2013-12-28,430,372
2013-12-29,238,295
2013-12-30,787,755
2013-12-31,343,375
2014-01-01,240,271
2014-01-02,1552,1151
2014-01-03,1763,1222
2014-01-04,545,549
2014-01-05,611,501
2014-01-06,2908,2456
2014-01-07,3081,2531
2014-01-08,2817,2246
2014-01-09,2836,2463
2014-01-10,2978,2461
2014-01-11,740,778
2014-01-12,343,384
2014-01-13,3051,2626
2014-01-14,2975,2560
2014-01-15,2943,2522
2014-01-16,2977,2421
2014-01-17,2819,2429
2014-01-18,722,810
2014-01-19,643,611
2014-01-20,3008,2572
2014-01-21,3127,2536
2014-01-22,3165,2675
2014-01-23,3117,2655
2014-01-24,3108,2653
2014-01-25,586,575
2014-01-26,503,409
2014-01-27,3242,2787
2014-01-28,3235,2894
2014-01-29,3281,2999
2014-01-30,3175,2834
2014-01-31,3096,2852
2014-02-01,995,1254
2014-02-02,380,414
2014-02-03,3556,3164
2014-02-04,3484,2995
2014-02-05,3693,2824
2014-02-06,3583,3094
2014-02-07,3643,3055
2014-02-08,1031,1087
2014-02-09,421,571
2014-02-10,4231,3429
2014-02-11,4169,3386
2014-02-12,5296,4806
2014-02-13,4403,3468
2014-02-14,4061,3351
2014-02-15,1628,1662
2014-02-16,400,462
2014-02-17,4371,3685
2014-02-18,4179,3548
2014-02-19,4490,3678
2014-02-20,4489,3658
2014-02-21,4543,3793
2014-02-22,1387,1561
2014-02-23,417,441
2014-02-24,4367,3600
2014-02-25,4353,3590
2014-02-26,4487,3678
2014-02-27,4407,3614
2014-02-28,3898,3037
2014-03-01,767,747
2014-03-02,325,263
2014-03-03,603,613
2014-03-04,311,426
2014-03-05,1412,1127
2014-03-06,4104,3312
2014-03-07,3873,3187
2014-03-08,1204,1399
2014-03-09,422,392
2014-03-10,4741,3964
2014-03-11,4830,3798
2014-03-12,4894,3781
2014-03-13,4712,3795
2014-03-14,4661,3891
2014-03-15,1552,1741
2014-03-16,318,408
2014-03-17,4811,3752
2014-03-18,4861,3790
2014-03-19,4890,3927
2014-03-20,4882,3826
2014-03-21,4644,3752
2014-03-22,1227,1571
2014-03-23,420,379
2014-03-24,4473,3706
2014-03-25,4659,3808
2014-03-26,4592,3773
2014-03-27,4489,3710
2014-03-28,4605,3723
2014-03-29,1445,1923
2014-03-30,406,387
2014-03-31,4416,3699
2014-04-01,4604,3826
2014-04-02,4628,3876
2014-04-03,4589,3978
2014-04-04,4678,3655
2014-04-05,1559,1704
2014-04-06,423,432
2014-04-07,4570,3404
2014-04-08,4710,4039
2014-04-09,4835,3932
2014-04-10,4765,3776
2014-04-11,4445,3997
2014-04-12,1494,2085
2014-04-13,430,335
2014-04-14,4022,3200
2014-04-15,3808,3164
2014-04-16,3830,3153
2014-04-17,3348,2675
2014-04-18,403,395
2014-04-19,450,423
2014-04-20,267,295
2014-04-21,439,408
2014-04-22,4593,3619
2014-04-23,4655,3950
2014-04-24,4468,3712
2014-04-25,4450,3823
2014-04-26,1587,1735
2014-04-27,414,409
2014-04-28,4380,3546
2014-04-29,4538,3820
2014-04-30,4880,3896
2014-05-01,667,1018
2014-05-02,1535,1126
2014-05-03,668,680
2014-05-04,639,718
2014-05-05,4853,4004
2014-05-06,5008,3966
2014-05-07,5021,4015
2014-05-08,5147,4051
2014-05-09,4869,3842
2014-05-10,1419,1456
2014-05-11,336,329
2014-05-12,4612,3910
2014-05-13,4885,3971
2014-05-14,4678,3863
2014-05-15,4611,3865
2014-05-16,4683,3975
2014-05-17,1752,1877
2014-05-18,812,726
2014-05-19,4619,3697
2014-05-20,2997,2702
2014-05-21,,
2014-05-22,4101,2757
2014-05-23,4285,3478
2014-05-24,1318,1639
2014-05-25,368,566
2014-05-26,4413,3683
2014-05-27,4420,3490
2014-05-28,4534,3511
2014-05-29,4220,3587
2014-05-30,4518,3429
2014-05-31,182,116
2014-06-01,96,318
2014-06-02,4115,3262
2014-06-03,4347,3493
2014-06-04,4311,3307
2014-06-05,3052,2394
2014-06-06,3357,2899
2014-06-07,1809,1762
2014-06-08,427,429
2014-06-09,3511,2829
2014-06-10,4166,3452
2014-06-11,4350,3277
2014-06-12,683,923
2014-06-13,3492,2981
2014-06-14,1126,1305
2014-06-15,395,431
2014-06-16,3960,3385
2014-06-17,2131,1563
2014-06-18,3887,3021
2014-06-19,424,487
2014-06-20,1514,1029
2014-06-21,483,508
2014-06-22,316,255
2014-06-23,1712,1433
2014-06-24,3956,3040
2014-06-25,3882,3008
2014-06-26,3185,2284
2014-06-27,4115,3188
2014-06-28,583,847
2014-06-29,377,419
2014-06-30,3661,2941
2014-07-01,2908,2430
2014-07-02,3593,2959
2014-07-03,3732,3134
2014-07-04,1937,1527
2014-07-05,1072,983
2014-07-06,440,399
2014-07-07,3553,2799
2014-07-08,1884,1453
2014-07-09,420,417
2014-07-10,3202,2679
2014-07-11,975,278
2014-07-12,658,759
2014-07-13,357,381
2014-07-14,3175,2560
2014-07-15,3055,2501
2014-07-16,3012,2452
2014-07-17,2676,1974
2014-07-18,2878,2321
2014-07-19,961,988
2014-07-20,577,445
2014-07-21,3004,2556
2014-07-22,3032,2539
2014-07-23,2966,2196
2014-07-24,2906,2529
2014-07-25,2821,2509
2014-07-26,1024,984
2014-07-27,305,364
2014-07-28,3093,2689
2014-07-29,3166,2556
2014-07-30,2882,2752
2014-07-31,3254,2654
2014-08-01,3269,2744
2014-08-02,957,995
2014-08-03,324,371
2014-08-04,4092,3358
2014-08-05,4061,3269
2014-08-06,4103,3067
2014-08-07,3000,2380
2014-08-08,4038,3490
2014-08-09,1250,1366
2014-08-10,261,353
2014-08-11,4109,3312
2014-08-12,4106,3427
2014-08-13,4154,3414
2014-08-14,4215,3355
2014-08-15,3898,3245
2014-08-16,1266,1158
2014-08-17,316,498
2014-08-18,4150,3526
2014-08-19,4223,3445
2014-08-20,2355,1836
2014-08-21,3983,3062
2014-08-22,4386,3489
2014-08-23,1420,1426
2014-08-24,392,338
2014-08-25,4088,3185
2014-08-26,4241,3780
2014-08-27,4074,3357
2014-08-28,3917,3153
2014-08-29,3803,3093
2014-08-30,1053,1430
2014-08-31,279,420
2014-09-01,3712,3071
2014-09-02,4108,3262
2014-09-03,3892,3062
2014-09-04,4008,3110
2014-09-05,3801,3429
2014-09-06,1148,1446
2014-09-07,447,472
2014-09-08,3809,3323
2014-09-09,3927,3462
2014-09-10,3963,3239
2014-09-11,3496,3327
2014-09-12,3438,2823
2014-09-13,1015,1161
2014-09-14,392,454
2014-09-15,3995,3364
2014-09-16,4251,3518
2014-09-17,4227,3481
2014-09-18,4061,3345
2014-09-19,3798,3551
2014-09-20,1264,1494
2014-09-21,365,404
2014-09-22,4294,3702
2014-09-23,4335,3732
2014-09-24,4478,3663
2014-09-25,4407,3592
2014-09-26,4130,3278
2014-09-27,1165,1321
2014-09-28,430,510
2014-09-29,4260,3534
2014-09-30,4507,3840
2014-10-01,4391,3601
2014-10-02,4340,3562
2014-10-03,3956,3333
2014-10-04,973,1071
2014-10-05,291,282
2014-10-06,4287,3686
2014-10-07,4444,3615
